GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
parking-system,com.parkit.parkingsystem.service,FareCalculatorService,5,107,2,7,1,20,2,6,0,3
parking-system,com.parkit.parkingsystem.service,ParkingService,44,221,7,6,15,58,7,8,0,8
parking-system,com.parkit.parkingsystem.service,InteractiveShell,72,0,6,0,28,0,8,0,4,0
parking-system,com.parkit.parkingsystem,App,12,0,0,0,5,0,3,0,3,0
parking-system,com.parkit.parkingsystem.model,ParkingSpot,37,35,8,0,9,11,8,6,4,6
parking-system,com.parkit.parkingsystem.model,Ticket,8,74,3,7,3,26,3,15,0,13
parking-system,com.parkit.parkingsystem.constants,Fare,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.constants,Discount,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.constants,ParkingType,0,24,0,0,0,3,0,1,0,1
parking-system,com.parkit.parkingsystem.constants,DBConstants,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.util,InputReaderUtil,45,11,4,0,15,2,5,1,3,1
parking-system,com.parkit.parkingsystem.dao,TicketDAO,98,202,19,5,25,55,12,5,0,5
parking-system,com.parkit.parkingsystem.dao,ParkingSpotDAO,51,138,9,3,19,39,6,5,0,5
parking-system,com.parkit.parkingsystem.config,DataBaseConfig,57,7,6,0,26,2,8,2,5,2
